,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
832,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ALB,Albania,,FMLE,Female,,21.2,21.2058,,,,,
833,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,ALB,Albania,,FMLE,Female,,78.3,78.31106,,,,,
834,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ALB,Albania,,BTSX,Both sexes,,19.0,18.9965,,,,,
835,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,ALB,Albania,,BTSX,Both sexes,,76.2,76.24688,,,,,
836,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,ALB,Albania,,BTSX,Both sexes,,21.3,21.30705,,,,,
837,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,MLE,Male,,73.9,73.86103,,,,,
838,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,MLE,Male,,18.8,18.78866,,,,,
839,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,FMLE,Female,,77.4,77.39238,,,,,
840,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,FMLE,Female,,21.2,21.18052,,,,,
841,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,BTSX,Both sexes,,19.5,19.52888,,,,,
842,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,BTSX,Both sexes,,75.3,75.31077,,,,,
843,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,Argentina,,MLE,Male,,18.3,18.26594,,,,,
844,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,ARG,Argentina,,MLE,Male,,72.9,72.91711,,,,,
845,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,Argentina,,FMLE,Female,,22.7,22.6963,,,,,
846,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,ARG,Argentina,,FMLE,Female,,79.3,79.29972,,,,,
847,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,ARG,Argentina,,BTSX,Both sexes,,76.2,76.16682,,,,,
848,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,ARG,Argentina,,BTSX,Both sexes,,21.0,20.98281,,,,,
849,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ARM,Armenia,,MLE,Male,,70.9,70.88089,,,,,
850,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ARM,Armenia,,MLE,Male,,17.3,17.32031,,,,,
851,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ARM,Armenia,,FMLE,Female,,77.8,77.83168,,,,,
852,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ARM,Armenia,,FMLE,Female,,21.2,21.17347,,,,,
853,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ARM,Armenia,,BTSX,Both sexes,,19.4,19.42225,,,,,
854,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ARM,Armenia,,BTSX,Both sexes,,76.0,76.02519,,,,,
855,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,ATG,Antigua and Barbuda,,MLE,Male,,19.6,19.58714,,,,,
856,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ATG,Antigua and Barbuda,,MLE,Male,,74.9,74.88465,,,,,
857,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,ATG,Antigua and Barbuda,,FMLE,Female,,21.2,21.19921,,,,,
858,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ATG,Antigua and Barbuda,,FMLE,Female,,78.0,77.9584,,,,,
859,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ATG,Antigua and Barbuda,,BTSX,Both sexes,,76.5,76.45393,,,,,
860,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ATG,Antigua and Barbuda,,BTSX,Both sexes,,20.6,20.58658,,,,,
861,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,AUS,Australia,,MLE,Male,,81.3,81.2524,,,,,
862,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,AUS,Australia,,MLE,Male,,24.4,24.36551,,,,,
863,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,AUS,Australia,,FMLE,Female,,84.8,84.84017,,,,,
864,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,AUS,Australia,,FMLE,Female,,26.8,26.82651,,,,,
865,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,AUS,Australia,,BTSX,Both sexes,,79.7,79.69334,,,,,
866,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,AUS,Australia,,BTSX,Both sexes,,25.6,25.61516,,,,,
867,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AUT,Austria,,MLE,Male,,75.1,75.09416,,,,,
868,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,AUT,Austria,,MLE,Male,,22.4,22.42696,,,,,
869,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AUT,Austria,,FMLE,Female,,81.0,80.98243,,,,,
870,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AUT,Austria,,BTSX,Both sexes,,78.2,78.16925,,,,,
871,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AUT,Austria,,BTSX,Both sexes,,22.0,21.95156,,,,,
872,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AZE,Azerbaijan,,MLE,Male,,62.6,62.57429,,,,,
873,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AZE,Azerbaijan,,MLE,Male,,15.1,15.12332,,,,,
874,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AZE,Azerbaijan,,FMLE,Female,,68.5,68.4967,,,,,
875,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AZE,Azerbaijan,,FMLE,Female,,17.9,17.87904,,,,,
876,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AZE,Azerbaijan,,BTSX,Both sexes,,16.6,16.61171,,,,,
877,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,AZE,Azerbaijan,,BTSX,Both sexes,,69.0,69.02677,,,,,
878,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BDI,Burundi,,MLE,Male,,11.8,11.77394,,,,,
879,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BDI,Burundi,,MLE,Male,,56.9,56.85909,,,,,
880,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BDI,Burundi,,FMLE,Female,,14.0,14.02612,,,,,
881,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BDI,Burundi,,FMLE,Female,,60.3,60.31611,,,,,
882,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BDI,Burundi,,BTSX,Both sexes,,58.6,58.59703,,,,,
883,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BDI,Burundi,,BTSX,Both sexes,,15.6,15.61196,,,,,
884,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BEL,Belgium,,MLE,Male,,77.2,77.23535,,,,,
885,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BEL,Belgium,,MLE,Male,,21.1,21.12148,,,,,
886,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BEL,Belgium,,FMLE,Female,,82.4,82.37853,,,,,
887,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BEL,Belgium,,FMLE,Female,,24.9,24.8801,,,,,
888,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BEL,Belgium,,BTSX,Both sexes,,23.1,23.10626,,,,,
889,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,BEL,Belgium,,BTSX,Both sexes,,80.7,80.71184,,,,,
890,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BEN,Benin,,MLE,Male,,15.2,15.16484,,,,,
891,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BEN,Benin,,MLE,Male,,59.7,59.66497,,,,,
892,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BEN,Benin,,FMLE,Female,,18.0,17.96548,,,,,
893,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BEN,Benin,,FMLE,Female,,64.2,64.24706,,,,,
894,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BEN,Benin,,FMLE,Female,,18.2,18.20796,,,,,
895,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BEN,Benin,,BTSX,Both sexes,,62.0,61.96257,,,,,
896,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BEN,Benin,,BTSX,Both sexes,,17.0,17.00945,,,,,
897,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BFA,Burkina Faso,,MLE,Male,,58.2,58.24176,,,,,
898,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BFA,Burkina Faso,,MLE,Male,,14.8,14.7517,,,,,
899,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BFA,Burkina Faso,,FMLE,Female,,17.8,17.76293,,,,,
900,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BFA,Burkina Faso,,FMLE,Female,,65.2,65.22655,,,,,
901,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BFA,Burkina Faso,,BTSX,Both sexes,,16.4,16.44196,,,,,
902,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BFA,Burkina Faso,,BTSX,Both sexes,,62.7,62.7035,,,,,
903,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,BGD,Bangladesh,,MLE,Male,,20.5,20.49308,,,,,
904,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,BGD,Bangladesh,,MLE,Male,,73.0,72.99429,,,,,
905,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,BGD,Bangladesh,,FMLE,Female,,75.6,75.63741,,,,,
906,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,BGD,Bangladesh,,FMLE,Female,,21.5,21.53054,,,,,
907,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,BGD,Bangladesh,,BTSX,Both sexes,,74.3,74.25471,,,,,
908,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,BGD,Bangladesh,,BTSX,Both sexes,,20.9,20.86123,,,,,
909,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BGR,Bulgaria,,MLE,Male,,71.6,71.64895,,,,,
910,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BGR,Bulgaria,,MLE,Male,,17.4,17.40699,,,,,
911,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BGR,Bulgaria,,FMLE,Female,,22.0,21.97048,,,,,
912,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BGR,Bulgaria,,BTSX,Both sexes,,71.6,71.60985,,,,,
913,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BGR,Bulgaria,,BTSX,Both sexes,,19.8,19.81913,,,,,
914,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,BHR,Bahrain,,MLE,Male,,69.5,69.54983,,,,,
915,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,BHR,Bahrain,,MLE,Male,,18.7,18.72444,,,,,
916,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,BHR,Bahrain,,FMLE,Female,,71.8,71.77354,,,,,
917,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,BHR,Bahrain,,BTSX,Both sexes,,70.5,70.46838,,,,,
918,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,BHR,Bahrain,,BTSX,Both sexes,,15.0,14.96732,,,,,
919,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BHS,Bahamas,,MLE,Male,,67.6,67.63697,,,,,
920,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BHS,Bahamas,,MLE,Male,,18.3,18.2528,,,,,
921,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BHS,Bahamas,,FMLE,Female,,74.2,74.19233,,,,,
922,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BHS,Bahamas,,FMLE,Female,,21.4,21.36606,,,,,
923,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AMR,Americas,,BHS,Bahamas,,FMLE,Female,,76.3,76.25388,,,,,
924,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BHS,Bahamas,,BTSX,Both sexes,,19.9,19.94577,,,,,
925,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AMR,Americas,,BHS,Bahamas,,BTSX,Both sexes,,73.0,72.95849,,,,,
926,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BIH,Bosnia and Herzegovina,,MLE,Male,,17.7,17.6779,,,,,
927,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BIH,Bosnia and Herzegovina,,MLE,Male,,73.8,73.84852,,,,,
928,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BIH,Bosnia and Herzegovina,,FMLE,Female,,78.5,78.46719,,,,,
929,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BIH,Bosnia and Herzegovina,,FMLE,Female,,21.0,21.03172,,,,,
930,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BIH,Bosnia and Herzegovina,,BTSX,Both sexes,,76.2,76.18808,,,,,
931,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BIH,Bosnia and Herzegovina,,BTSX,Both sexes,,19.7,19.72854,,,,,
932,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BLR,Belarus,,MLE,Male,,64.5,64.54675,,,,,
933,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BLR,Belarus,,MLE,Male,,14.1,14.13965,,,,,
934,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BLR,Belarus,,FMLE,Female,,20.5,20.51221,,,,,
935,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,BLR,Belarus,,FMLE,Female,,78.8,78.79088,,,,,
936,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BLR,Belarus,,BTSX,Both sexes,,17.7,17.72123,,,,,
937,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,BLR,Belarus,,BTSX,Both sexes,,73.8,73.81525,,,,,
938,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,AMR,Americas,,BLZ,Belize,,MLE,Male,,20.6,20.55608,,,,,
939,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BLZ,Belize,,MLE,Male,,71.1,71.13895,,,,,
940,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BLZ,Belize,,FMLE,Female,,77.3,77.29343,,,,,
941,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BLZ,Belize,,FMLE,Female,,22.8,22.75498,,,,,
942,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BLZ,Belize,,BTSX,Both sexes,,74.0,74.04993,,,,,
943,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BLZ,Belize,,BTSX,Both sexes,,21.5,21.47434,,,,,
944,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,MLE,Male,,70.6,70.59274,,,,,
945,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,MLE,Male,,18.1,18.07467,,,,,
